/Users/nicolasvila/miniconda3/envs/cleanrl/lib/python3.9/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/Users/nicolasvila/miniconda3/envs/cleanrl/lib/python3.9/site-packages/stable_baselines3/common/buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 56.46GB > 1.37GB
  warnings.warn(
global_step=139, episodic_return=[1.]
global_step=324, episodic_return=[2.]
global_step=435, episodic_return=[0.]
global_step=673, episodic_return=[3.]
global_step=935, episodic_return=[3.]
global_step=1141, episodic_return=[2.]
global_step=1352, episodic_return=[2.]
global_step=1495, episodic_return=[1.]
global_step=1608, episodic_return=[0.]
global_step=1767, episodic_return=[1.]
global_step=1882, episodic_return=[0.]
global_step=1995, episodic_return=[0.]
global_step=2201, episodic_return=[2.]
global_step=2312, episodic_return=[0.]
global_step=2471, episodic_return=[1.]
global_step=2678, episodic_return=[2.]
global_step=2819, episodic_return=[1.]
global_step=2978, episodic_return=[1.]
global_step=3091, episodic_return=[0.]
global_step=3206, episodic_return=[0.]
global_step=3392, episodic_return=[2.]
global_step=3503, episodic_return=[0.]
global_step=3677, episodic_return=[2.]
global_step=3792, episodic_return=[0.]
global_step=3951, episodic_return=[1.]
global_step=4064, episodic_return=[0.]
global_step=4222, episodic_return=[1.]
global_step=4335, episodic_return=[0.]
global_step=4556, episodic_return=[3.]
global_step=4671, episodic_return=[0.]
global_step=4924, episodic_return=[4.]
global_step=5037, episodic_return=[0.]
global_step=5198, episodic_return=[1.]
global_step=5357, episodic_return=[1.]
global_step=5468, episodic_return=[0.]
global_step=5611, episodic_return=[1.]
global_step=5724, episodic_return=[0.]
global_step=5965, episodic_return=[4.]
global_step=6124, episodic_return=[1.]
global_step=6314, episodic_return=[2.]
global_step=6427, episodic_return=[0.]
global_step=6542, episodic_return=[0.]
global_step=6655, episodic_return=[0.]
global_step=6798, episodic_return=[1.]
global_step=7175, episodic_return=[7.]
global_step=7431, episodic_return=[3.]
global_step=7544, episodic_return=[0.]
global_step=7655, episodic_return=[0.]
global_step=7768, episodic_return=[0.]
global_step=7976, episodic_return=[2.]
global_step=8237, episodic_return=[3.]
global_step=8394, episodic_return=[1.]
global_step=8663, episodic_return=[4.]
global_step=9034, episodic_return=[7.]
global_step=9175, episodic_return=[1.]
global_step=9288, episodic_return=[0.]
global_step=9401, episodic_return=[0.]
global_step=9657, episodic_return=[3.]
global_step=9816, episodic_return=[1.]
global_step=9957, episodic_return=[1.]
global_step=10191, episodic_return=[3.]
global_step=10306, episodic_return=[0.]
global_step=10417, episodic_return=[0.]
global_step=10783, episodic_return=[6.]
global_step=10896, episodic_return=[0.]
global_step=11072, episodic_return=[2.]
global_step=11229, episodic_return=[1.]
global_step=11404, episodic_return=[2.]
global_step=11519, episodic_return=[0.]
global_step=11678, episodic_return=[1.]
global_step=11791, episodic_return=[0.]
global_step=11906, episodic_return=[0.]
global_step=12090, episodic_return=[2.]
global_step=12233, episodic_return=[1.]
global_step=12422, episodic_return=[2.]
global_step=12533, episodic_return=[0.]
global_step=12717, episodic_return=[2.]
global_step=12876, episodic_return=[1.]
global_step=12989, episodic_return=[0.]
global_step=13195, episodic_return=[2.]
global_step=13401, episodic_return=[2.]
global_step=13544, episodic_return=[1.]
global_step=13657, episodic_return=[0.]
global_step=13772, episodic_return=[0.]
global_step=13887, episodic_return=[0.]
global_step=14123, episodic_return=[3.]
global_step=14236, episodic_return=[0.]
global_step=14430, episodic_return=[2.]
global_step=14642, episodic_return=[3.]
global_step=14878, episodic_return=[3.]
global_step=15112, episodic_return=[3.]
global_step=15302, episodic_return=[2.]
global_step=15415, episodic_return=[0.]
global_step=15530, episodic_return=[0.]
global_step=15643, episodic_return=[0.]
global_step=15802, episodic_return=[1.]
global_step=16036, episodic_return=[3.]
global_step=16363, episodic_return=[5.]
global_step=16476, episodic_return=[0.]
global_step=16637, episodic_return=[1.]
global_step=16750, episodic_return=[0.]
global_step=16861, episodic_return=[0.]
global_step=16974, episodic_return=[0.]
global_step=17089, episodic_return=[0.]
global_step=17204, episodic_return=[0.]
global_step=17315, episodic_return=[0.]
global_step=17526, episodic_return=[2.]
global_step=17665, episodic_return=[1.]
global_step=17902, episodic_return=[3.]
global_step=18063, episodic_return=[1.]
global_step=18271, episodic_return=[2.]
global_step=18463, episodic_return=[2.]
global_step=18606, episodic_return=[1.]
global_step=18749, episodic_return=[1.]
global_step=18864, episodic_return=[0.]
global_step=18979, episodic_return=[0.]
global_step=19266, episodic_return=[4.]
global_step=19379, episodic_return=[0.]
global_step=19540, episodic_return=[1.]
global_step=19703, episodic_return=[1.]
/Users/nicolasvila/miniconda3/envs/cleanrl/lib/python3.9/site-packages/torch/nn/functional.py:1949: UserWarning: nn.functional.tanh is deprecated. Use torch.tanh instead.
  warnings.warn("nn.functional.tanh is deprecated. Use torch.tanh instead.")
Traceback (most recent call last):
  File "/Users/nicolasvila/workplace/uni/tfg/tests/cleanrl/sac/sac_atari.py", line 349, in <module>
    qf1_loss = elbe_loss(delta_1, values, beta)
TypeError: elbe_loss() missing 1 required positional argument: 'beta'
global_step=19816, episodic_return=[0.]
global_step=19973, episodic_return=[1.]
